Timestamp,Texte,Valence,Arousal
2026-05-20 13:04:56,Je veux détoiler de prémendique tente dans l'himite festival avec un emmerde à l'intérieur de crasse et les puñons.,0.369,0.071
2026-05-20 13:04:59,Militoriède sur le loo. Ça s'est stylé.,0.021,-0.557
2026-05-20 13:05:01,Et à part ça...,0.014,-0.527
2026-05-20 13:05:19,Là je vois un équipe.,0.166,-0.206
2026-05-20 13:05:23,Il a l'air assez bien envoy.,-0.22,-0.221
2026-05-20 13:05:29,C'est un truc qui a une université grise en cours de la vie.,-0.289,-0.219
2026-05-20 13:05:52,"A plus deoupager ou de leones, donc je vous propose pour votre appel. Piguetoothque, 2 max ти la Sav чем unav Teenageurs 1983. tomatoes tyres ! Steph C'est un bon Auto supertre, mascara de g ваши hoirler ! Cela � 함께, Variou",0.849,0.339
2026-05-20 13:05:56,"C'est bon, il y a des seuls profs, mais bien.",0.042,-0.52
2026-05-20 13:06:09,"Je m'envoie un canard son lourd, c'est vraiment à l'exemple.",-0.112,-0.378
2026-05-20 13:06:12,C'est imagineux.,0.499,-0.589
2026-05-20 13:06:21,Plus tôt cette si vous en regardez.,-0.063,-0.11
2026-05-20 13:06:34,"On le sait à tout sur l'eau, c'est...",0.323,-0.484
2026-05-20 13:06:47,Je vois deux élefants d'eau.,0.388,-0.651
2026-05-20 13:06:52,"On a des francs captivés, ça a pas l'air très heureux.",0.014,0.206
2026-05-20 13:07:12,Et je jite tout le邊 ! moment bon.,-0.07,0.021
2026-05-20 13:07:15,Et c'est vraiment bouffe chez le soleil ou le vais de soleil.,0.075,0.07
2026-05-20 13:07:27,"Je Ellen Sw calming rire elle;;c j'aime donc, ce n'est pas ça je reviens ça.",-0.182,-0.868
2026-05-20 13:07:40,Je pense que c'est une image de créateur un peu s'arrimer une botte dans une autre.,-0.152,0.127
2026-05-20 13:07:45,J'ai pas trop d'inspirations sur celle-là.,0.389,0.133
2026-05-20 13:07:58,"Là, c'est encore un bouche et de soleil derrière les nuages, c'est genre de doulets.",0.234,-0.277
2026-05-20 13:08:02,"Je sais vraiment, je sais que avec les rayons du soleil, je vais à cette fois la ligue à chez.",0.153,0.483
2026-05-20 13:08:06,"C'est bon, c'est quelque chose que le soir, je m'arrêtais à regarder.",0.178,-0.346
