Timestamp,Texte,Valence,Arousal
2026-05-20 13:39:02,C'est plutôt un couteau à la crêpe.,-0.157,-0.492
2026-05-20 13:39:05,Je ne sais pas du coup d'image à une accorde.,0.152,0.301
2026-05-20 13:39:10,"Je vois un bateau, mais vogue donc la mer, du tout agréable aussi.",0.712,-0.052
2026-05-20 13:39:24,Je vois une couleur rouge qui me plaît aussi. Je fais ça pour penser à un grand frais.,0.128,0.295
2026-05-20 13:39:41,"Ça m'évoque, c'est très bien.",0.112,-0.265
2026-05-20 13:39:47,Un peu bizarre l'image en l'agencement des objets.,-0.204,0.02
2026-05-20 13:40:05,"Je vaisßen reflection en bois de l'ultime, dedans, et j' proposition recruitment. Il n'est pas élevé Merci. Il n'est pas assigné sur calculated de déactesipherique et de narrative. Mais j'imospit faisant les alignment. Les acknowledgement par son sac est 경er des nutcr Australia. Et un realised futant géléré international death.",-0.224,-0.345
2026-05-20 13:40:06,Je vais te tenir sur ta réveille.,-0.139,0.021
2026-05-20 13:40:12,"C'est joli, un ciel que j'apprécie vertuverment.",0.702,-0.677
2026-05-20 13:40:30,Je suis apprécié bien. Je vais vous les cacher vers un neige...,-0.103,-1.0
2026-05-20 13:40:36,"Ainsi, isolé, on l'offre toujours, dans son sens...",0.203,-0.358
2026-05-20 13:40:41,S'improcure une serrène agrébée.,-0.009,0.04
2026-05-20 13:40:47,"Le fait de voir le soleil caché, le rayon, le cercle, ça c'est beau.",0.881,-0.102
2026-05-20 13:41:00,On ne va pas trop habitué à voir ça.,0.052,-0.181
2026-05-20 13:41:03,Mais pas forcément mal à l'aise.,-0.688,0.142
2026-05-20 13:41:13,"C'est assez des outils ensemble, le mécempre a un sigrumaise.",-0.131,-0.072
2026-05-20 13:41:23,"Accident de voiture, au secteur de Tristesse.",0.034,-0.351
2026-05-20 13:41:26,Vraiment des personnes ont péri.,-0.736,0.933
2026-05-20 13:41:29,Voila !,0.518,0.5
2026-05-20 13:41:34,A présent vous totalissez... en abuse centre.,-0.894,0.23
2026-05-20 13:41:39,Qu'il y aura un�� Middlebridge ?,0.138,0.241
2026-05-20 13:41:48,Tout à grave dans le canal.,-1.0,0.422
2026-05-20 13:41:50,C'est million de morceaux.,0.366,0.011
2026-05-20 13:41:53,Je vous vois acheter dans l'eau.,0.338,-0.015
2026-05-20 13:41:59,"On peut voir les cours de l'eau sur la somme à sache, plutôt joli.",0.46,-0.262
2026-05-20 13:42:09,C'est plutôt plus tôt réalisé dans le sang papier.,-0.155,-0.478
2026-05-20 13:42:17,La photo met un peu de la tristesse dans le sens où on le voit seul et elle lui-même.,-0.353,0.309
2026-05-20 13:42:21,En de malaisant dans son son...,-1.0,-0.645
2026-05-20 13:42:25,Je suis en aimerai bien aider cette personne.,0.256,0.031
2026-05-20 13:42:37,Faut toi c'est joli de 2 enfants animaux.,0.081,0.059
2026-05-20 13:42:40,Ils sont des éléphants qui musaient de votre intelligence.,0.389,0.247
2026-05-20 13:42:45,On les voit enchaînons autour du coup.,0.145,0.094
2026-05-20 13:42:49,"Si laisse, même...",0.11,-0.257
2026-05-20 13:42:53,"Un assez malaisant, dans le sens où il n'y a vraiment pas de son traité.",-1.0,0.349
2026-05-20 13:42:57,"Mais dans l'ensemble, l'image a rien suivi.",0.056,-0.417
