Timestamp,Texte,Valence,Arousal
2026-05-22 14:04:19,Je vois un...,-0.069,-0.459
2026-05-22 14:05:04,"Je suis très content de se réaliser. Je suis reposé. J'ai envie de me d'être avec mes amis, de faire un pic, de me balader avec mon corps, ma famille. Je dois faire un petit barbequeau. Ça évoque la serrignité et la santé de bonheur.",0.637,-0.077
2026-05-22 14:05:54,"Ok, je revois ici aussi un cherssoleil. C'est beau. J'ai envie de... Là quand je vois ça, j'ai envie de faire un saut en parachute parce que ça montre un peu la bowdey notre univers. Ça m'évoque aussi la joie. J'ai envie de... F***.",0.167,-0.988
2026-05-22 14:05:58,la journée.,0.255,-0.771
2026-05-22 14:06:05,un. Le subway.,-0.078,-0.379
2026-05-22 14:06:15,"Par exemple, on va essayer avec des amis, avec de la famille, chanter, avoir ma petite arme. Donc c'est plutôt un moment reposant.",0.318,0.082
2026-05-22 14:06:19,Il vaut l'encours russe dans le pas.,0.032,0.105
2026-05-22 14:06:57,"Cette image m'entrique. Je vois deux perdes de bote. Je sais pas si c'est des perdes mais je vois qu'à un perde de bote, on va en venir hach.",-0.87,0.897
2026-05-22 14:07:07,J'ai envie de ranger et j'ai envie de baider la laire de chaque vote et j'ai envie de les nettoyer.,-0.478,0.478
2026-05-22 14:07:09,Et euh...,0.407,-1.0
2026-05-22 14:07:25,"Je sais pas quoi ça a fait, hache, peut-être parce que la personne, on les fait en iniquant. L'initiale, l'être, son anilie, c'est pas très bon.",-0.971,0.586
2026-05-22 14:07:32,"Et c'est plus d'eau, enfin j'ai juste envie de ranger, les moyens, les belles autres. Je suis un franco.",0.129,-0.065
2026-05-22 14:07:50,"Ok, là je vois si on dirait une image fondée de crampes, une dose. Et c'est genre un mode canard ou une moche.",-0.427,-0.452
2026-05-22 14:07:59,"Mais dans l'eau, on dirait que je suis dans un rire. J'ai envie de donner des petits poubains.",-0.083,-0.258
2026-05-22 14:08:07,Ce qu'il a.,-0.038,-0.161
2026-05-22 14:08:21,Mais je reinforcing que absorbedne les uns de l' przep physiological et plus oppressed du son à onödL��를.,0.477,-0.488
2026-05-22 14:08:37,"Les shorts, J'stiauben un coup.",-0.277,0.089
2026-05-22 14:08:41,"Je suis haute, je sais pas si c'est dans un rendu. En tout cas c'est dans le genre d'endroit où je n'y vais jamais.",-0.128,-0.63
2026-05-22 14:08:42,C'est ce qui est sûr.,-0.107,-0.025
2026-05-22 14:11:07,"Je vois, je pense deux élefants, les pauvres, je pense ça en moi.",-0.293,-0.572
2026-05-22 14:11:21,"C'est prises mais ils ont l'air, ils en parlent. Je sais pas si c'est des élèves visibles. Je sais que ça vaut bien de nez rigoureux malinant.",-1.0,0.894
2026-05-22 14:11:46,Ce n'est pas le cas. children disparities.,-0.181,-0.144
2026-05-22 14:12:09,"Wow ! Crash, y'en crash, je sais pas si c'est celui de...",-0.431,0.711
2026-05-22 14:12:19,"A l'année je vois, il y a un crash avec un camion et le water.",0.069,0.261
2026-05-22 14:12:27,Il y a vraiment un crash dans le sens où il y a vraiment l'accident.,-0.227,0.179
2026-05-22 14:12:32,"C'est un migaxe d'embaude, il y a tout le devant de la voiture.",-0.615,0.256
2026-05-22 14:12:46,"C'est un domaché, c'est que ça a dû être un shock. Je suis dans le tout mal. Je me dis que j'essaie de les gens. Il est...",-1.0,0.762
2026-05-22 14:12:54,C'était au long ou même dans le cas de la votre puissance.,-0.193,-0.371
2026-05-22 14:12:57,Je vous remercie en son allé.,-0.022,0.254
2026-05-22 14:13:28,"Je vois un personne qui est allongé dans la rue. C'est un son, un des aéphes, un son homie suffisque.",-0.113,-0.228
2026-05-22 14:14:09,",",0.203,-0.632
2026-05-22 14:14:14,"Elle a l'air allongé, je sais pas si elle est concien par. C'est très triste de voir que dans ceci des gens salamés, j'ai envie de les aider. J'ai envie que les gens fassent plus attention aux personnes qui les embours. Il est moins de gens finis, comme de la même manière. J'ai envie de l'aider, j'ai envie de donner l'argent, des amis de la voiture.",-0.313,0.447
2026-05-22 14:14:19,"On elle est'mphet, je vous donne qui mondiale.",-0.053,0.347
2026-05-22 14:14:20,"Voilà si vous souhaitez voir dans ce que c'est, il y a des choses.",0.288,-0.241
2026-05-22 14:14:38,"Je vois en bateau, je sais pas.",0.049,0.144
2026-05-22 14:14:55,Il a l'air un peu abandonnée. Je me dis que ça rend toi en fait. Je ne sais pas si les friétaires sont où ? Est-ce que c'est genre ? Les psychisaires sont d'argent ? Est-ce que c'est genre ?,-1.0,1.0
2026-05-22 14:15:05,"Laissez parce que je suis sénée. J'ai en deux de cirques, je sais que les propriétaires ne laissent pas.",-0.547,-0.016
2026-05-22 14:15:13,Il y a beaucoup d'argent à voir le plaisir dans un bâne de poissière.,0.45,0.322
2026-05-22 14:15:20,Donc j'ai arrivé de nos cirsegents là et besoin d'enchaussir à Los Alons.,-0.6,0.284
2026-05-22 14:15:25,Je pense à l'abdant.,-0.26,-0.435
2026-05-22 14:15:30,Sère de cobra приходement le Gray. Suible.,-0.892,-0.386
