Timestamp,Texte,Valence,Arousal
2026-05-20 12:56:40,Je� m' tranquille...,0.041,-1.0
2026-05-20 12:56:49,J'ai qu'à éventuellement...,0.098,-0.408
2026-05-20 12:57:18,C'est unaware de la voyage.,-0.248,0.039
2026-05-20 12:57:18,Ensemble !,0.627,0.271
2026-05-20 12:57:21,C'est un beau paysage.,0.833,-0.68
2026-05-20 12:57:27,"Voilà, mélancolier.",0.039,-0.063
2026-05-20 12:57:38,Et à deux petits élefants.,0.072,-0.005
2026-05-20 12:57:41,Il s'amuse bien. On dirait.,-0.306,0.155
2026-05-20 12:57:47,Ce serait un très joyeux.,0.77,-0.074
2026-05-20 12:57:54,que rondex s'en confrissent à bien...Next year we are in history and I have an skin from here.,-0.134,-1.0
2026-05-20 12:58:09,C rot !,-0.842,0.791
2026-05-20 12:58:28,Voilà il y a l'accident de votre voie de chouin.,-1.0,0.486
2026-05-20 12:58:32,On dirait que le remhistor de Camion n'a pas survu.,-0.122,-0.002
2026-05-20 12:58:37,Résente d'imaginer...,0.318,-1.0
2026-05-20 12:58:54,On voit encore un paysage pour le soleil.,0.789,-0.523
2026-05-20 12:59:13,"Je vous en ai sur la bonne, c'est un beau paysage et j'ai faim d'aider d'une idée.",1.0,-0.251
2026-05-20 12:59:42,"Çexil Head definition de levier à la communication technologie, la technologie avec la Schweiz, le dont development de prix des��라is processus compact surprises et le",0.378,-0.155
2026-05-20 12:59:52,ON歖<|fr|>,-0.132,-1.0
2026-05-20 12:59:55,C'est un tour qui est sur le bord de la route.,-0.079,-0.401
2026-05-20 12:59:58,C'est quoi ? Il est en dehors.,-0.264,-0.193
2026-05-20 13:00:04,On a fait un centre d'œuvres.,0.528,-0.237
2026-05-20 13:00:06,C'est assez piste quand on va faire ça.,0.075,-0.321
2026-05-20 13:00:22,"αι, je vais tema de plus de nanarsurement chopped !",0.369,0.087
2026-05-20 13:00:27,J'avais laß dans la bentura.,0.04,-0.463
