Timestamp,Texte,Valence,Arousal
2026-05-20 14:14:01,C'est une question qui me fait penser à moi. Je suis parti à l'ablage et c'était vraiment pas longtemps.,-0.884,0.14
2026-05-20 14:14:18,"Il y avait un moment où il y avait des toilettes qui les remplacent comme ça avec l'un de saves, c'est les anciens toilettes. C'est des blindes de saves et tu ne peux pas tirer la chasse. Tu y avait une hauteur qui était immense. Ça convainte les drôles parce que tu vois tous les personnes qui est skivées, même c'était les seuls tu vois. Il y avait dans les autres.",-0.458,-0.26
2026-05-20 14:14:38,"Alors, en vrai, ils sont comiques parce que tu as une haute fille. Les repos sont très endretères. Les beurons qui ont regardé un temps qui sont dégarnés, ça ne fait rien.",-0.666,0.639
2026-05-20 14:14:44,"J'aime bien la clou. Et vu que je m'en putain de jet de dinosaure, en ce moment, je vais avoir les animaux, c'est-à-dire.",-0.439,0.224
2026-05-20 14:14:55,En français vœuf.,0.179,-0.24
2026-05-20 14:14:56,Les mots qui mettent un peu au l'exace.,-0.226,0.075
2026-05-20 14:14:58,Je suis pas fin de la blague en blague.,-0.726,-0.325
2026-05-20 14:15:00,On risque ça le sur l'arrivée d'Orient.,-0.309,0.247
2026-05-20 14:15:05,"Ça fait très auto-génime, hein, je sais pas.",0.283,0.079
2026-05-20 14:15:37,"Oh ça c'est bon, ok ça j'aime bien parce que tu me suis une habitue. C'est ça, j'ai une habitue, c'est un fait de plus jour. J'en ai vu que je vois le ciel d'équilibre, des caractes, etc. Que y a un avion qui passe, mais je le m'entends en fait tout. Et je leur vois ma chérie.",-0.342,-0.578
2026-05-20 14:15:40,J'ai un gars qui me fait un peu penser au sel qui a côté de chance.,-0.341,-0.143
2026-05-20 14:16:08,"Ça, ça me fait penser à Dorion. Parce qu'il n'y a pas longtemps, on a une discussion et immatique qui avait postulé lui et variant dans la marine. Et c'est incroyable. Du coup, on est une anguish qui en vaut moi, je vais être chasseuralement et que je vais aller dans l'armidère et moi tu peux se m'invêquer pour c'est, la laissure un mal ou ça.",-1.0,0.755
2026-05-20 14:17:57,"Ok c'est bien. Je sais que je vois un cadeau d'archimage, mais je n'ai jamais rien à dire.",-0.708,0.159
2026-05-20 14:18:08,"J'aime bien l'image avec l'eau, c'est ça, c'est leur déterraisant. C'est quand même les millions de dollars pour 200.",0.096,0.138
2026-05-20 14:18:27,Cette illumination d'une téléurité ind Espero que la lainte que tu peux en parler à l'autre intérison avait déjà vu. Un poke...,-0.018,-0.305
2026-05-20 14:18:29,J'arrive pas vraiment à savoir ce qui est assez sur la photo. Il y a personne qui est dans le milieu de l'huile. Ils n'ont pas l'air des noix dans la rue de souci.,-0.284,-0.062
2026-05-20 14:18:32,Le gars est sur le déjeuner en train de rentrer.,0.26,-0.167
2026-05-20 14:18:36,"J'imagine en changement de la route pour des problèmes, négollés d'accident en plus.",-0.178,0.214
2026-05-20 14:18:43,Un pays betrayal. Petite Crêce.,-0.506,-0.271
2026-05-20 14:19:00,"En tout cas, on ne sait blah le péril de fouave humain.",-0.566,0.385
2026-05-20 14:19:04,"Il est allongé, ça va un peu de la peine.",-0.786,0.289
2026-05-20 14:19:11,"Ça me fait penser à un gars que j'ai vu à pas longtemps dans mon billet. Je crois que je me dis, j'en perds une esthère de la paix.",-0.543,0.37
2026-05-20 14:19:27,"Avec encore un dossier, l'encement je viens.",-0.027,-0.288
2026-05-20 14:19:32,"Le point est à penser à un endroit où je suis allé me valider, en tant que c'est...",-0.088,-0.183
2026-05-20 14:19:34,J'aime bien les lourds aussi.,0.231,-0.321
2026-05-20 14:19:38,C'est dans la nature ce sera pas de...,-0.443,-0.151
2026-05-20 14:19:44,"C'était son entreau, je n'ai rien bothering avec moi.",-0.465,-0.077
